Date,First,Second
2021-11-14,6183942,5979413
2021-11-13,6182286,5974075
2021-11-12,6179335,5960905
2021-11-11,6175817,5946845
2021-11-10,6172851,5932584
2021-11-09,6169754,5917265
2021-11-08,6166739,5900803
2021-11-07,6166217,5897337
2021-11-06,6164711,5888459
2021-11-05,6160757,5867277
2021-11-04,6157098,5846923
2021-11-03,6153092,5823189
2021-11-02,6148541,5797586
2021-11-01,6144386,5766278
2021-10-31,6143109,5758556
2021-10-30,6140786,5741977
2021-10-29,6135756,5710560
2021-10-28,6130446,5676972
2021-10-27,6124487,5644157
2021-10-26,6117825,5611720
2021-10-25,6110144,5579636
2021-10-24,6107861,5568565
2021-10-23,6103727,5542255
2021-10-22,6094785,5497374
2021-10-21,6083651,5451764
2021-10-20,6072314,5405642
2021-10-19,6059126,5357437
2021-10-18,6046775,5302589
2021-10-17,6046775,5302589
2021-10-16,6034376,5240213
2021-10-15,6018275,5174571
2021-10-14,6000795,5105834
2021-10-13,5981468,5025898
2021-10-12,5959853,4939216
2021-10-11,5938082,4856736
2021-10-10,5931034,4827636
2021-10-09,5918121,4776653
2021-10-08,5894982,4693523
2021-10-07,5870574,4616948
2021-10-06,5844107,4538018
2021-10-05,5815075,4442925
2021-10-04,5808414,4428775
2021-10-03,5801150,4408263
2021-10-02,5785854,4366019
2021-10-01,5756898,4281843
2021-09-30,5724869,4204036
2021-09-29,5693944,4132602
2021-09-28,5660515,4048903
2021-09-27,5626658,3968843
2021-09-26,5614448,3943347
2021-09-25,5592648,3889864
2021-09-24,5558500,3796695
2021-09-23,5522265,3718288
2021-09-22,5486424,3640998
2021-09-21,5450534,3558711
2021-09-20,5413928,3482945
2021-09-19,5398633,3456741
2021-09-18,5374576,3408100
2021-09-17,5332793,3320667
2021-09-16,5296975,3256358
2021-09-15,5257327,3186444
2021-09-14,5217373,3121329
2021-09-13,5170963,3051925
2021-09-12,5152670,3031072
2021-09-11,5124780,2992899
2021-09-10,5073306,2924263
2021-09-09,5016985,2860253
2021-09-08,4961216,2802011
2021-09-07,4910785,2743498
2021-09-06,4862704,2692904
2021-09-05,4828724,2678906
2021-09-04,4768911,2644865
2021-09-03,4694229,2590966
2021-09-02,4631579,2539287
2021-09-01,4547478,2484199
2021-08-31,4475444,2433592
2021-08-30,4387803,2372417
2021-08-29,4335655,2353563
2021-08-28,4292979,2326130
2021-08-27,4206609,2273984
2021-08-26,4122930,2218458
2021-08-25,4036063,2163192
2021-08-24,3956005,2112611
2021-08-23,3875028,2066915
2021-08-22,3829992,2052364
2021-08-21,3779127,2022928
2021-08-20,3699581,1973224
2021-08-19,3625997,1924839
2021-08-18,3547120,1871458
2021-08-17,3480823,1826165
2021-08-16,3417891,1781578
2021-08-15,3385107,1767176
2021-08-14,3345335,1742669
2021-08-13,3280156,1693577
2021-08-12,3218397,1645077
2021-08-11,3155892,1599438
2021-08-10,3085235,1548545
2021-08-09,3033491,1510648
2021-08-08,3016441,1501249
2021-08-07,2984776,1463495
2021-08-06,2931990,1423185
2021-08-05,2874425,1381481
2021-08-04,2825917,1342211
2021-08-03,2772428,1300394
2021-08-02,2729174,1265839
2021-08-01,2715978,1252304
2021-07-31,2688735,1228845
2021-07-30,2636949,1190942
2021-07-29,2592831,1156321
2021-07-28,2563251,1129924
2021-07-27,2478220,1071895
2021-07-26,2445631,1045515
2021-07-25,2432672,1034280
2021-07-24,2405646,1012939
2021-07-23,2365634,982170
2021-07-22,2327237,948667
2021-07-21,2283863,912940
2021-07-20,2250087,882844
2021-07-19,2217295,854625
2021-07-18,2207784,846261
2021-07-17,2185364,830856
2021-07-16,2154674,801520
2021-07-15,2122154,769552
2021-07-14,2091118,741075
2021-07-13,2053904,710714
2021-07-12,2023678,686408
2021-07-11,2008345,683667
2021-07-10,1987064,671858
2021-07-09,1958700,651446
2021-07-08,1928105,629961
2021-07-07,1900389,609108
2021-07-06,1868111,586674
2021-07-05,1840850,567316
2021-07-04,1828450,564930
2021-07-03,1806958,554057
2021-07-02,1782220,534493
2021-07-01,851400,
2021-06-30,830684,
2021-06-29,809848,
2021-06-28,790322,
2021-06-27,779670,
2021-06-26,766789,
2021-06-25,748701,
2021-06-24,729783,
2021-06-23,711807,
2021-06-22,694125,
2021-06-21,676080,
2021-06-20,675738,
2021-06-19,666689,
2021-06-18,648926,
2021-06-17,631896,
2021-06-16,615471,
2021-06-15,598248,
2021-06-14,585595,
2021-06-13,585595,
2021-06-12,577881,
2021-06-11,561593,
2021-06-10,545970,
2021-06-09,530486,
2021-06-08,514412,
2021-06-07,499725,
2021-06-06,499725,
2021-06-05,492242,
2021-06-04,477265,
2021-06-03,461855,
2021-06-02,447260,
2021-06-01,432947,
2021-05-31,418996,
2021-05-30,418996,
2021-05-29,411834,
2021-05-28,397644,
2021-05-27,384056,
2021-05-26,371117,
2021-05-25,357917,
2021-05-24,345393,
2021-05-23,345393,
2021-05-22,339048,
2021-05-21,326563,
2021-05-20,326563,
2021-05-19,303270,
2021-05-18,291550,
2021-05-17,280135,
2021-05-16,280135,
2021-05-15,274751,
2021-05-14,264135,
2021-05-13,256193,
2021-05-12,248641,
2021-05-11,242149,
2021-05-10,235852,
2021-05-09,235852,
2021-05-08,229491,
2021-05-07,229491,
2021-05-06,224076,
2021-05-05,219594,
2021-05-04,215006,
2021-05-03,211022,
2021-05-02,211022,
2021-05-01,210376,
2021-04-30,206320,
2021-04-29,202220,
2021-04-28,198492,
2021-04-27,195007,
2021-04-26,192336,
2021-04-25,192336,
2021-04-24,191745,
2021-04-23,188812,
2021-04-22,185620,
2021-04-21,181435,
2021-04-20,177733,
2021-04-19,173852,
2021-04-18,173852,
2021-04-17,173302,
2021-04-16,169284,
2021-04-15,164855,
2021-04-14,160637,
2021-04-13,155894,
2021-04-12,151535,
2021-04-11,151535,
2021-04-10,151125,
2021-04-09,35291,
